seriesId,seriesDescription,unit
RAIMUUS_RP,Imported  Crude Oil Real Price,real dollars per barrel
COUNPUS,Crude Oil Adjustment,million barrels per day
CYRPIC_MTN,Real Personal Income Mountain,billion chained 2017 dollars (seasonally-adjusted annual rate)
CYRPIC_NEC,Real Personal Income New England,billion chained 2017 dollars (seasonally-adjusted annual rate)
EE_ESC,Total Non-Farm Employment E. S. Central,millions
EE_NEC,Total Non-Farm Employment New England,millions
ESCMU_NEC,"Retail Price of Electricity in Commercial Sector, New England",cents per kilowatt hour
ESCMU_SAC,"Retail Price of Electricity in Commercial Sector, South Atlantic",cents per kilowatt hour
ESICU_WNC,"Retail Price of Electricity in Industrial Sector, West North Central",cents per kilowatt hour
CGSP_WNC,Real Gross State Product W. N. Central,billion chained 2017 dollars (seasonally-adjusted annual rate)
ESRCU_MAC,"Retail Price of Electricity in Residential Sector, Middle Atlantic",cents per kilowatt hour
ESTCU_US,"Retail Price of Electricity for All Sectors, U.S. Total",cents per kilowatt hour
ESTCU_WSC,"Retail Price of Electricity for All Sectors, West South Central",cents per kilowatt hour
EXACP_ESC,"Retail Sales of Electricity in Transportation Sector, East South Central",million kilowatthours per day
EXACP_MAC,"Retail Sales of Electricity in Transportation Sector, Middle Atlantic",million kilowatthours per day
EXACP_MTN,"Retail Sales of Electricity in Transportation Sector, Mountain",million kilowatthours per day
EXACP_NEC,"Retail Sales of Electricity in Transportation Sector, New England",million kilowatthours per day
EXACP_PAC,"Retail Sales of Electricity in Transportation Sector, Pacific Contiguous",million kilowatthours per day
EXACP_WNC,"Retail Sales of Electricity in Transportation Sector, West North Central",million kilowatthours per day
ESRCU_MTN,"Retail Price of Electricity in Residential Sector, Mountain",cents per kilowatt hour
CGSP_NEC,Real Gross State Product New England,billion chained 2017 dollars (seasonally-adjusted annual rate)
CGSP_MAC,Real Gross State Product Middle Atlantic,billion chained 2017 dollars (seasonally-adjusted annual rate)
CGSP_ESC,Real Gross State Product E. S. Central,billion chained 2017 dollars (seasonally-adjusted annual rate)
T3_STCHANGE_NOECD,"Net Inventory Withdrawals, Total Non-OECD Crude Oil and Other Liquids",million barrels per day
T3_STCHANGE_US,"Net Inventory Withdrawals, Total U.S. (50 States) Crude Oil and Other Liquids",million barrels per day
T3_STCHANGE_WORLD,"Net Inventory Withdrawals, Total World Crude Oil and Other Liquids",million barrels per day
WP57IUS,Producer Price Index: Petroleum,"Index, 1982=1.00"
ZOTOIUS,Total Industrial Production Index,"Index, 2017=100 (seasonally adjusted)"
ZWCD_ESC,Cooling Degree Days E. S. Central,total degree days
ZWCD_MTN,Cooling Degree Days Mountain,total degree days
ZWCD_NEC,Cooling Degree Days New England,total degree days
ZWCD_WSC,Cooling Degree Days W. S. Central,total degree days
ZO327IUS,"Stone, Clay, Glass, and Concrete Products Production Index","Index, 2017=100 (seasonally adjusted)"
ZO331IUS,Primary Metals Production Index,"Index, 2017=100 (seasonally adjusted)"
ZO3252IUS,Resins and Synthetic Rubber Production Index,"Index, 2017=100 (seasonally adjusted)"
ZO3253IUS,Agricultural Chemicals Production Index,"Index, 2017=100 (seasonally adjusted)"
QSIC_NG_PCT,Natural Gas-weighted Industrial Production Index,Percent change from prior year
ZWHD_MTN,Heating Degree Days Mountain,total degree days
ZWHD_NEC,Heating Degree Days New England,total degree days
ZWHD_WSC,Heating Degree Days W. S. Central,total degree days
PADI_OPEC,"Unplanned crude oil production disruptions, Organization of the Petroleum Exporting Countries",million barrels per day
PAPR_NO,"Crude Oil and Liquid Fuels Supply, Norway",million barrels per day
EXACP_WSC,"Retail Sales of Electricity in Transportation Sector, West South Central",million kilowatthours per day
EXCCP_MAC,"Retail Sales of Electricity in Commercial Sector, Middle Atlantic",million kilowatthours per day
EXCCP_NEC,"Retail Sales of Electricity in Commercial Sector, New England",million kilowatthours per day
EXICP_ESC,"Retail Sales of Electricity in Industrial Sector, East South Central",million kilowatthours per day
ARTCPUS,Asphalt and Road Oil Product Supplied,million barrels per day
SGTCPUS,Still Gas Product Supplied,million barrels per day
MZTCPUS,Other Liquid Fuels Product Supplied,million barrels per day
EORIPUS,Fuel Ethanol Refinery and Blender Net Inputs,million barrels per day
RNRIPUS,Renewable Fuels Except Fuel Ethanol Refinery and Blender Net Inputs,million barrels per day
HORIPUS,Hydrogen and Other Hydrocarbons Refinery and Blender Net Inputs,million barrels per day
CXTCCO2,Carbon Dioxide Emissions from Coal,million metric tons
FFTCCO2,Carbon Dioxide Emissions from Fossil Fuels,million metric tons
NGTCCO2,Carbon Dioxide Emissions from Natural Gas,million metric tons
PATCCO2,Carbon Dioxide Emissions from Petroleum and Other Liquid Fuels,million metric tons
ESRCU_US,"Retail Price of Electricity in Residential Sector, U.S. Average",cents per kilowatt hour
BMEPGEN_FL,"Electric power sector net generation from biomass, Florida (FRCC)",billion kilowatthours
RTEPGEN_FL,"Electric power sector net generation from renewable energy (all types), Florida (FRCC)",billion kilowatthours
RNEPGEN_FL,"Electric power sector net generation from renewables excluding hydropower, Florida (FRCC)",billion kilowatthours
PAEPGEN_FL,"Electric power sector net generation from petroleum, Florida (FRCC)",billion kilowatthours
OGEPGEN_FL,"Electric power sector net generation from other fossil gases, Florida (FRCC)",billion kilowatthours
XXEPGEN_FL,"Electric power sector net generation from other energy sources, Florida (FRCC)",billion kilowatthours
TOEPGEN_FL,"Electric power sector total net generation from all types of energy sources, Florida (FRCC)",billion kilowatthours
ELLOAD_FL,"Net energy for electricity load, Florida (FRCC)",billion kilowatthours
PCTCPUS,Petroleum Coke Product Supplied,million barrels per day
T3B_PAPR_R07,"Crude Oil and Liquid Fuels Supply, Total Asia and Oceania  ",million barrels per day
FETCPUS,Petrochemical Feedstocks Product Supplied,million barrels per day
ETTCPUS,Ethane/Ethylene Product Supplied,million barrels per day
EXICP_MAC,"Retail Sales of Electricity in Industrial Sector, Middle Atlantic",million kilowatthours per day
EXICP_WNC,"Retail Sales of Electricity in Industrial Sector, West North Central",million kilowatthours per day
EXRCP_ESC,"Retail Sales of Electricity in Residential Sector, East South Central",million kilowatthours per day
EXTCP_MAC,"Retail Sales of Electricity in All Sectors, Middle Atlantic",million kilowatthours per day
EXTCP_SAC,"Retail Sales of Electricity in All Sectors, South Atlantic",million kilowatthours per day
EXTCP_WSC,"Retail Sales of Electricity in All Sectors, West South Central",million kilowatthours per day
MGROPUS,Finished Motor Gasoline Refinery Output,million barrels per day
MGTSPP5,Total Motor Gasoline PADD 5 (West Coast) Inventory,"million barrels, end-of-period"
NGACPUS,Natural Gas Pipeline and Distribution Use,billion cubic feet per day
NGCCU_MTN,"Retail Price of Natural Gas in Commercial Sector, Mountain",dollars per thousand cubic feet
OXNIPUS,Oxygenates (excluding Fuel Ethanol) Net Imports,million barrels per day
PPPRPUS,Natural Gasoline (Pentanes Plus) Renewable Fuels and Oxygenanted Plant Net Production,million barrels per day
OXPRPUS,Oxygenates (excluding Fuel Ethanol) Plant Net Production,million barrels per day
RNNIPUS,Renewable Fuels Except Fuel Ethanol Net Imports,million barrels per day
HONIPUS,Hydrogen and Other Hydrocarbons Net Imports,million barrels per day
OXFPPUS,Oxygenates (excluding Fuel Ethanol) Adjustments,million barrels per day
EOFPPUS,Fuel Ethanol Adjustments,million barrels per day
RNFPPUS,Renewable Fuels Except Fuel Ethanol Adjustments,million barrels per day
HOFPPUS,Hydrogen and Other Hydrocarbons Adjustments,million barrels per day
LXTCPUS,Propane and Heavier Liquefied Petroleum Gas Product Supplied,million barrels per day
NGEPGEN_HA,"Electric power sector net generation from natural gas, Hawaii and Alaska",billion kilowatthours
T3B_PAPR_R06,"Crude Oil and Liquid Fuels Supply, Total Africa ",million barrels per day
NGRCU_NEC,"Retail Price of Natural Gas in Residential Sector, New England",dollars per thousand cubic feet
NGRCU_MTN,"Retail Price of Natural Gas in Price Residential Sector, Mountain",dollars per thousand cubic feet
NGRCU_WNC,"Retail Price of Natural Gas in Residential Sector, W. N. Central",dollars per thousand cubic feet
NGSFPUS,Supplemental Gaseous Fuels Supply,billion cubic feet per day
NGWGPUS,Natural Gas Working Inventory U.S. Total,"billion cubic feet, end-of-period"
NUEPTOT,Electric Power Sector Generation from Nuclear,billion kilowatthours per day
OGEPTOT,Electric power sector generation from other fossil gases,billion kilowatthours per day
ORCAPUS,Refinery Operable Distillation Capacity  ,million barrels per day
OTCEPUS,Commercial Sector Generation from Other Nonrenewable Fuels,billion kilowatthours per day
NGRCU_MAC,"Retail Price of Natural Gas in Residential Sector, Middle Atlantic",dollars per thousand cubic feet
PAPR_BR,"Crude Oil and Liquid Fuels Supply, Brazil",million barrels per day
PAPR_MU,"Crude Oil and Liquid Fuels Supply, Oman",million barrels per day
PAPR_YM,"Crude Oil and Liquid Fuels Supply, Yemen",million barrels per day
PAROPUS,Total Refinery Output,million barrels per day
PATCPUSX,Total Petroleum and Other Liquids Product Supplied,million barrels per day
PATC_IN,"Liquid Fuels Consumption, India",million barrels per day
PATC_JA,"Liquid Fuels Consumption, Japan",million barrels per day
PATC_R02,"Liquid Fuels Consumption, Total Central and South America",million barrels per day
PATC_R04,"Liquid Fuels Consumption, Total Eurasia",million barrels per day
PAPR_EK,"Crude Oil and Liquid Fuels Supply, Equatorial Guinea",million barrels per day
NGRCUUS,"Retail price of natural gas in the residential sector, U.S. average",dollars per thousand cubic feet
NGRCP_WNC,"Natural Gas Consumption Residential Sector, W. N. Central",billion cubic feet per day
NGRCP_PAC,"Natural Gas Consumption Residential Sector, Pacific",billion cubic feet per day
NGCCP_NEC,"Natural Gas Consumption Commercial Sector, New England",billion cubic feet per day
NGCCP_PAC,"Natural Gas Consumption Commercial Sector, Pacific",billion cubic feet per day
NGCCP_WNC,"Natural Gas Consumption Commercial Sector, W. N. Central",billion cubic feet per day
NGCCU_ESC,"Retail Price of Natural Gas in Commercial Sector, E. S. Central",dollars per thousand cubic feet
NGCCU_PAC,"Retail Price of Natural Gas in Commercial Sector, Pacific",dollars per thousand cubic feet
NGCCU_SAC,"Retail Price of Natural Gas in Commercial Sector, S. Atlantic",dollars per thousand cubic feet
NGCOPUS,Industrial Sector Generation from Natural Gas,billion kilowatthours per day
NGEPCON,"Natural Gas Consumption Electric Power Sector, U.S. Total",billion cubic feet per day
NGHHMCF,Natural Gas Henry Hub Spot Price ($/mcf),dollars per thousand cubic feet
NGICU_ENC,"Retail Price of Natural Gas in Industrial Sector, E. N. Central",dollars per thousand cubic feet
NGICU_MAC,"Retail Price of Natural Gas in Industrial Sector, Middle Atlantic",dollars per thousand cubic feet
NGICU_NEC,"Retail Price of Natural Gas in Industrial Sector, New England",dollars per thousand cubic feet
NGICU_PAC,"Retail Price of Natural Gas in Industrial Sector, Pacific",dollars per thousand cubic feet
NGICU_WNC,"Retail Price of Natural Gas in Industrial Sector, W. N. Central",dollars per thousand cubic feet
NGINX,"Natural Gas Consumption Industrial Sector, U.S. Total",billion cubic feet per day
NGINX_WNC,"Natural Gas Consumption Industrial Sector, W. N. Central",billion cubic feet per day
NGRCP_ENC,"Natural Gas Consumption Residential Sector, E. N. Central",billion cubic feet per day
NGRCP_ESC,"Natural Gas Consumption Residential Sector, E. S. Central",billion cubic feet per day
NGRCP_NEC,"Natural Gas Consumption Residential Sector, New England",billion cubic feet per day
NGCCU_NEC,"Retail Price of Natural Gas in Commercial Sector, New England",dollars per thousand cubic feet
NGEUDUS,Cost of Natural Gas Delivered to Electric Generating Plants,dollars per million Btu
NGEXPUS,Natural Gas Total Gross Exports,billion cubic feet per day
NGICU_ESC,"Retail Price of Natural Gas in Industrial Sector, E. S. Central",dollars per thousand cubic feet
PAPR_MY,"Crude Oil and Liquid Fuels Supply, Malaysia",million barrels per day
PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,million barrels per day
PAPR_OPEC,Total OPEC Petroleum Supply,million barrels per day
PAPR_SU,"Crude Oil and Liquid Fuels Supply, Sudan",million barrels per day
PAPR_TX,"Crude Oil and Liquid Fuels Supply, Turkmenistan",million barrels per day
QHALLC_ESC,Households E. S. Central,thousands
ZO325IUS,Basic Chemical Manufacturing Production Index,"Index, 2017=100 (seasonally adjusted)"
ZO324IUS,Petroleum and Coal Products Production Index,"Index, 2017=100 (seasonally adjusted)"
T3B_PAPR_R04,"Crude Oil and Liquid Fuels Supply, Total FSU and Eastern Europe",million barrels per day
CLCOPUS,Industrial Sector Generation from Coal,billion kilowatthours per day
T3B_PAPR_R02,"Crude Oil and Liquid Fuels Supply, Total Central and South America",million barrels per day
DFNIPUS,Distillate Fuel Oil Net Imports,million barrels per day
EE_WNC,Total Non-Farm Employment W. N. Central,millions
ESTCU_WNC,"Retail Price of Electricity for All Sectors, West North Central",cents per kilowatt hour
EXCCP_ENC,"Retail Sales of Electricity in Commercial Sector, East North Central",million kilowatthours per day
GDPQXUS,Real Gross Domestic Product,billion chained 2017 dollars (seasonally-adjusted annual rate)
GETOPUS,Generation from Geothermal by All Sectors,billion kilowatthours per day
HPEPTOT,Electric Power Sector Generation from Pumped Storage Hydroelectric,billion kilowatthours per day
CYRPIC_ESC,Real Personal Income E. S. Central,billion chained 2017 dollars (seasonally-adjusted annual rate)
PAPR_MX,"Crude Oil and Liquid Fuels Supply, Mexico",million barrels per day
T3B_PAPR_R05,"Crude Oil and Liquid Fuels Supply, Total Middle East ",million barrels per day
ZWCD_MAC,Cooling Degree Days Middle Atlantic,total degree days
YD87OUS,Real Disposable Personal Income,billion chained 2017 dollars (seasonally-adjusted annual rate)
NGIMPUS_PIPE,Natural Gas Pipeline Gross Imports,billion cubic feet per day
NGINX_MAC,"Natural Gas Consumption Industrial Sector, Middle Atlantic",billion cubic feet per day
NGINX_NEC,"Natural Gas Consumption Industrial Sector, New England",billion cubic feet per day
NGMPPGLF,Natural Gas Marketed Production Federal Gulf of Mexico,billion cubic feet per day
NGRCU_PAC,"Retail Price of Natural Gas in Residential Sector, Pacific",dollars per thousand cubic feet
OGTOPUS,Net generation from other fossil gases by all sectors,billion kilowatthours per day
OHPSPUS,Other HC/Oxygenates Inventory,"million barrels, end-of-period"
OHRIPUS,Other HC/Oxygenates Adjustment,million barrels per day
OPCEPUS,Commercial Sector Generation from Other Petroleum,billion kilowatthours per day
OPCOPUS,Industrial Sector Generation from Other Petroleum,billion kilowatthours per day
OREPTOT,Electric Power Sector Generation from Other Renewables,billion kilowatthours per day
ORUTCUS,Refinery Distillation Utilization Factor ,Operating Factor
OTEPTOT,Electric Power Sector Generation from Other Nonrenewable Fuels,billion kilowatthours per day
OTTOPUS,Generation from Other Nonrenewable Fuels by All Sectors,billion kilowatthours per day
OWTOPUS,Generation from Other Renewable Sources by All Sectors,billion kilowatthours per day
PACEPUS,Commercial Sector Generation from Petroleum (All Types),billion kilowatthours per day
PACOPUS,Industrial Sector Generation from Petroleum (All Types),billion kilowatthours per day
PAGLPUS,Refinery Processing Gain,million barrels per day
PAIMPORT,Total Petroleum Net Imports,million barrels per day
ZOMNIUS,Manufacturing Production Index,"Index, 2017=100 (seasonally adjusted)"
PAPR_OD,"Crude Oil and Liquid Fuels Supply, South Sudan",million barrels per day
CLEPGEN_HA,"Electric power sector net generation from coal, Hawaii and Alaska",billion kilowatthours
NUEPGEN_HA,"Electric power sector net generation from nuclear, Hawaii and Alaska",billion kilowatthours
NUINGEN_US,"Industrial sector net generation from nuclear, United States",billion kilowatthours
OBINGEN_US,"Industrial sector net generation from other nonrenewable fuels, United States",billion kilowatthours
OGINGEN_US,"Industrial sector net generation from other fossil gases, United States",billion kilowatthours
PAINGEN_US,"Industrial sector net generation from petroleum, United States",billion kilowatthours
RNINGEN_US,"Industrial sector net generation from renewables excluding hydropower, United States",billion kilowatthours
SOINGEN_US,"Industrial sector net generation from utility-scale solar, United States",billion kilowatthours
TOINGEN_US,"Total industrial sector net generation by all energy sources, United States",billion kilowatthours
WNINGEN_US,"Industrial sector net generation from wind, United States",billion kilowatthours
NGINGEN_US,"Industrial sector net generation from natural gas, United States",billion kilowatthours
BMTOGEN_US,"Net generation from biomass, all sectors, United States",billion kilowatthours
GETOGEN_US,"Net generation from geothermal, all sectors, United States",billion kilowatthours
HPTOGEN_US,"Net generation from pumped storage hydropower, all sectors, United States",billion kilowatthours
HVTOGEN_US,"Net generation from conventional hydropower, all sectors, United States",billion kilowatthours
NGTOGEN_US,"Net generation from natural gas, all sectors, United States",billion kilowatthours
NUTOGEN_US,"Net generation from nuclear, all sectors, United States",billion kilowatthours
OBTOGEN_US,"Net generation from other nonrenewable fuels, all sectors, United States",billion kilowatthours
OGTOGEN_US,"Net generation from other fossil gases, all sectors, United States",billion kilowatthours
PATOGEN_US,"Net generation from petroleum, all sectors, United States",billion kilowatthours
CLTOGEN_US,"Net generation from coal, all sectors, United States",billion kilowatthours
HVINGEN_US,"Industrial sector net generation from conventional hydropower, United States",billion kilowatthours
HPINGEN_US,"Industrial sector net generation from pumped storage hydropower, United States",billion kilowatthours
GEINGEN_US,"Industrial sector net generation from geothermal, United States",billion kilowatthours
PACMGEN_US,"Commercial sector net generation from petroleum, United States",billion kilowatthours
RNCMGEN_US,"Commercial sector net generation from renewables excluding hydropower, United States",billion kilowatthours
SOCMGEN_US,"Commercial sector net generation from utility-scale solar, United States",billion kilowatthours
TOCMGEN_US,"Total commercial sector net generation by all energy sources, United States",billion kilowatthours
WNCMGEN_US,"Commercial sector net generation from wind, United States",billion kilowatthours
OBEPGEN_CA,"Electric power sector  net generation from other nonrenewable fuels, California",billion kilowatthours
