seriesId,seriesDescription,unit
PRNIPUS,Propane/Propylene Net Imports,million barrels per day
EXRCP_WSC,"Retail Sales of Electricity in Residential Sector, West South Central",million kilowatthours per day
HVEPCAP_US,Electric Power Sector Conventional Hydroelectric Net Summer Capacity,megawatts
HVEPCGW_US,U.S. electric power sector conventional hydropower net summer generating capacity,gigawatts
GETOGEN_US,"Net generation from geothermal, all sectors, United States",billion kilowatthours
GETOPUS,Generation from Geothermal by All Sectors,billion kilowatthours per day
HPEPGEN_TX,"Electric power sector net generation from pumped storage hydropower, Texas (ERCOT)",billion kilowatthours
HPEPGEN_US,"Electric power sector net generation from pumped storage hydropower, United States",billion kilowatthours
MGRARP4,"Gasoline Regular Grade Retail Price Incl Taxes, PADD 4 (Rocky Mountain)",cents per gallon
HVECBUS,Electric Power Sector Consumption of Conventional Hydroelectric Energy,Quadrillion Btu
MGRARP4_$,"Gasoline Regular Grade Retail Price Incl Taxes, PADD 4 (Rocky Mountain)",dollars per gallon
LGNIPUS,Liquefied Petroleum Gas Net Imports,million barrels per day
GOVXRUS,Real U.S. Government Expenditures,billion chained 2017 dollars (seasonally-adjusted annual rate)
HVEPGEN_PJ,"Electric power sector net generation from conventional hydropower, Mid-Atlantic (PJM)",billion kilowatthours
HPEPTOT,Electric Power Sector Generation from Pumped Storage Hydroelectric,billion kilowatthours per day
GEEPGEN_HA,"Electric power sector net generation from geothermal, Hawaii and Alaska",billion kilowatthours
GEEPGEN_MW,"Electric power sector net generation from geothermal, Midwest (Midcontinent ISO)",billion kilowatthours
LGPSPUS,Liquefied Petroleum Gas Inventory,"million barrels, end-of-period"
LGRIPUS,Liquefied Petroleum Gas Refinery Input,million barrels per day
HVEPGEN_CA,"Electric power sector net generation from conventional hydropower, California",billion kilowatthours
GEEPGEN_TX,"Electric power sector net generation from geothermal, Texas (ERCOT)",billion kilowatthours
JFTCPUS,Jet Fuel Product Supplied,million barrels per day
GECCBUS,Commercial Sector Consumption of Geothermal Energy,Quadrillion Btu
KRDRXUS,Business Inventory Change,billion chained 2017 dollars (seasonally-adjusted annual rate)
HVEPGEN_NE,"Electric power sector net generation from conventional hydropower, New England (ISO-NE)",billion kilowatthours
IPMFG_WNC,"Industrial Output, Manufacturing, W. N. Central","Index, 2017=100"
IPMFG_WSC,"Industrial Output, Manufacturing, W. S. Central","Index, 2017=100"
GEEPCGW_US,U.S. electric power sector geothermal net summer generating capacity,gigawatts
GEEPGEN_CA,"Electric power sector net generation from geothermal, California",billion kilowatthours
LGFPPUS,Liquefied Petroleum Gas Field Production,million barrels per day
EXRCP_ESC,"Retail Sales of Electricity in Residential Sector, East South Central",million kilowatthours per day
HVEPGEN_NW,"Electric power sector net generation from conventional hydropower, Northwest",billion kilowatthours
HVEPGEN_NY,"Electric power sector net generation from conventional hydropower, New York (NYISO)",billion kilowatthours
GEEPGEN_FL,"Electric power sector net generation from geothermal, Florida (FRCC)",billion kilowatthours
HPTOPUS,Generation from Pumped Storage Hydropower by All Sectors,billion kilowatthours per day
EXRCP_HAK,"Retail Sales of Electricity in Residential Sector, Alaska and Hawaii",million kilowatthours per day
HSTCXUS,Housing Starts,millions (seasonally-adjusted annual rate)
HVCCBUS,Commercial Sector Consumption of Conventional Hydroelectric Energy,Quadrillion Btu
GEEPGEN_SP,"Electric power sector net generation from geothermal, Central (SPP ISO)",billion kilowatthours
GEEPGEN_SW,"Electric power sector net generation from geothermal, Southwest",billion kilowatthours
LXTCPUS,Propane and Heavier Liquefied Petroleum Gas Product Supplied,million barrels per day
EXRCP_WNC,"Retail Sales of Electricity in Residential Sector, West North Central",million kilowatthours per day
HVEPGEN_SE,"Electric power sector net generation from conventional hydropower, Southeast (SERC)",billion kilowatthours
HVEPGEN_SP,"Electric power sector net generation from conventional hydropower, Central (SPP ISO)",billion kilowatthours
GEEPGEN_NE,"Electric power sector net generation from geothermal, New England (ISO-NE)",billion kilowatthours
GEEPGEN_NW,"Electric power sector net generation from geothermal, Northwest",billion kilowatthours
EOTCBUS,Consumption of Energy from Ethanol by All Sectors,Quadrillion Btu
EOTCPUS,Fuel Ethanol Consumption,million barrels per day
EXCCP_MTN,"Retail Sales of Electricity in Commercial Sector, Mountain",million kilowatthours per day
ELRCP_WNC,"Retail Sales of Electricity in Residential Sector, West North Central",billion kilowatthours
ELWHU_SE,"Wholesale Electricity Price, Southeast index, Southeast Reliability (SERC) Into Southern hub",dollars per megawatthour
EXRCH_US,"Average Residential Electricity Usage Per Customer, United States",kilowatthours
EXRCH_WNC,"Average Residential Electricity Usage Per Customer, West North Central",kilowatthours
EOTCSHR,Ethanol Share of Finished Gasoline Consumption,fraction
ESRCU_US,"Retail Price of Electricity in Residential Sector, U.S. Average",cents per kilowatt hour
ELRCP_WSC,"Retail Sales of Electricity in Residential Sector, West South Central",billion kilowatthours
ELRCTWH,"Retail Sales of Electricity in Residential Sector, U.S. Total",billion kilowatthours
ELWHU_SW,"Wholesale Electricity Price, Southwest index, Palo Verde hub",dollars per megawatthour
ESICU_US,"Retail Price of Electricity in Industrial Sector, U.S. Average",cents per kilowatthour
ELLOAD_SW,"Net energy for electricity load, Southwest",billion kilowatthours
ELLOAD_TX,"Net energy for electricity load, Texas (ERCOT)",billion kilowatthours
ESRCU_WNC,"Retail Price of Electricity in Residential Sector, West North Central",cents per kilowatt hour
ESCMU_ENC,"Retail Price of Electricity in Commercial Sector, East North Central",cents per kilowatt hour
ESICU_WNC,"Retail Price of Electricity in Industrial Sector, West North Central",cents per kilowatt hour
ELLOAD_US,"Net energy for electricity load, United States",billion kilowatthours
ELRCP_MAC,"Retail Sales of Electricity in Residential Sector, Middle Atlantic",billion kilowatthours
HPEPGEN_SW,"Electric power sector net generation from pumped storage hydropower, Southwest",billion kilowatthours
EXRCH_SAC,"Average Residential Electricity Usage Per Customer, South Atlantic",kilowatthours
ELLOAD_MW,"Net energy for electricity load, Midwest (Midcontinent ISO)",billion kilowatthours
HVCEPUS,Commercial Sector Generation from Conventional Hydropower,billion kilowatthours per day
EXRCP_MAC,"Retail Sales of Electricity in Residential Sector, Middle Atlantic",million kilowatthours per day
EXRCP_MTN,"Retail Sales of Electricity in Residential Sector, Mountain",million kilowatthours per day
MBFPPUSX,Motor Gasoline Blend Comp. Adjustment,million barrels per day
MGRARP5,"Gasoline Regular Grade Retail Price Incl Taxes, PADD 5 (West Coast)",cents per gallon
MGRARP5_$,"Gasoline Regular Grade Retail Price Incl Taxes, PADD 5 (West Coast)",dollars per gallon
HVCHCAP_US,Comm. and Indus. Sectors Conventional Hydroelectric Net Summer Capacity,megawatts
EXRCP_NEC,"Retail Sales of Electricity in Residential Sector, New England",million kilowatthours per day
GEEPGEN_US,"Electric power sector net generation from geothermal, United States",billion kilowatthours
MBRIPUS,Motor Gasoline Blend Components Refinery Input,million barrels per day
MGEIAUS,Gasoline All Grades Retail Price Including Taxes U.S. Average,cents per gallon
EXRCPUS,"Retail Sales of Electricity in Residential Sector, U.S. Total",billion kilowatthours per day
MGRARUS,"Gasoline Regular Grade Retail Price Incl Taxes, U.S. Average",cents per gallon
HVCHCGW_US,U.S. commercial and industrial sectors conventional hydropower net summer generating capacity,gigawatts
HVCHGEN_US,"Industrial and commercial sector net generation from conventional hydropower, United States",billion kilowatthours
JKTCUUS,Jet Fuel Refiner Price to End Users,cents per gallon
EXCCP_HAK,"Retail Sales of Electricity in Commercial Sector, Alaska and Hawaii",million kilowatthours per day
EXCCP_MAC,"Retail Sales of Electricity in Commercial Sector, Middle Atlantic",million kilowatthours per day
ELLOAD_HA,"Net energy for electricity load, Hawaii and Alaska",billion kilowatthours
ESRCU_HAK,"Retail Price of Electricity in Residential Sector, Alaska and Hawaii",cents per kilowatt hour
HPEPGEN_SP,"Electric power sector net generation from pumped storage hydropower, Central (SPP ISO)",billion kilowatthours
GETCBUS,Consumption of Geothermal Energy by All Sectors,Quadrillion Btu
GERCBUS,Residential Sector Consumption of Geothermal Energy,Quadrillion Btu
ELIMPUS,Gross Imports of Electricity into the United States,billion kilowatthours per day
ELLOAD_CA,"Net energy for electricity load, California",billion kilowatthours
MGEIAUS_$,Gasoline All Grades Retail Price Including Taxes U.S. Average,dollars per gallon
GDPDIUS,GDP Implicit Price Deflator,"Index, 2017 = 100"
EE_NEC,Total Non-Farm Employment New England,millions
EE_PAC,Total Non-Farm Employment Pacific,millions
ELCOTWH,Total Consumption of Electricity in United States,billion kilowatthours
ELICP_MTN,"Retail Sales of Electricity in Industrial Sector, Mountain",billion kilowatthours
ELICP_NEC,"Retail Sales of Electricity in Industrial Sector, New England",billion kilowatthours
EXTCP_SAC,"Retail Sales of Electricity in All Sectors, South Atlantic",million kilowatthours per day
HPEPGEN_NE,"Electric power sector net generation from pumped storage hydropower, New England (ISO-NE)",billion kilowatthours
HPEPGEN_NW,"Electric power sector net generation from pumped storage hydropower, Northwest",billion kilowatthours
ELCUS_ENC,"Number of Residential Customers, East North Central",thousand customers
ELCUS_ESC,"Number of Residential Customers, East South Central",thousand customers
ELICP_PAC,"Retail Sales of Electricity in Industrial Sector, Pacific Contiguous",billion kilowatthours
ELICP_SAC,"Retail Sales of Electricity in Industrial Sector, South Atlantic",billion kilowatthours
EXTCP_US,"Retail Sales of Electricity in All Sectors, U.S. Total",million kilowatthours per day
EXTCP_WNC,"Retail Sales of Electricity in All Sectors, West North Central",million kilowatthours per day
HPEPGEN_NY,"Electric power sector net generation from pumped storage hydropower, New York (NYISO)",billion kilowatthours
EE_MTN,Total Non-Farm Employment Mountain,millions
IPMFG_NEC,"Industrial Output, Manufacturing, New England","Index, 2017=100"
EE_MAC,Total Non-Farm Employment Middle Atlantic,millions
MGRARP2,"Gasoline Regular Grade Retail Price Incl Taxes, PADD 2 (Midwest)",cents per gallon
IPMFG_MAC,"Industrial Output, Manufacturing, Middle Atlantic","Index, 2017=100"
ELACP_MTN,"Retail Sales of Electricity in Transportation Sector, Mountain",billion kilowatthours
DUCSHA,Haynesville Drilled but Uncompleted Wells ,
ELICP_ESC,"Retail Sales of Electricity in Industrial Sector, East South Central",billion kilowatthours
ELICP_HAK,"Retail Sales of Electricity in Industrial Sector, Alaska and Hawaii",billion kilowatthours
HORIPUS,Hydrogen and Other Hydrocarbons Refinery and Blender Net Inputs,million barrels per day
IPMFG_MTN,"Industrial Output, Manufacturing, Mountain","Index, 2017=100"
MGRARP1,"Gasoline Regular Grade Retail Price Incl Taxes, PADD 1 (East Coast)",cents per gallon
DUCSPM,Permian Drilled but Uncompleted Wells ,
DUCSR48,"Rest of Lower 48 States, excluding GOM Drilled but Uncompleted Wells ",
ELICP_MAC,"Retail Sales of Electricity in Industrial Sector, Middle Atlantic",billion kilowatthours
ELICP_WNC,"Retail Sales of Electricity in Industrial Sector, West North Central",billion kilowatthours
I87RXUS,Real Private Fixed Investment,billion chained 2017 dollars (seasonally-adjusted annual rate)
MGRARP1_$,"Gasoline Regular Grade Retail Price Incl Taxes, PADD 1 (East Coast)",dollars per gallon
EE_ENC,Total Non-Farm Employment E. N. Central,millions
EE_ESC,Total Non-Farm Employment E. S. Central,millions
ELICP_WSC,"Retail Sales of Electricity in Industrial Sector, West South Central",billion kilowatthours
ELICTWH,"Retail Sales of Electricity in Industrial Sector, U.S. Total",billion kilowatthours
INEOPUS,Industrial Sector Total Generation,billion kilowatthours per day
FFTCCO2,Carbon Dioxide Emissions from Fossil Fuels,million metric tons
ESRCU_WSC,"Retail Price of Electricity in Residential Sector, West South Central",cents per kilowatt hour
ELCUS_HAK,"Number of Residential Customers, Hawaii and Alaska",thousand customers
ELICP_US,"Retail Sales of Electricity in Industrial Sector, U.S. Total",billion kilowatthours
HVEPGEN_SW,"Electric power sector net generation from conventional hydropower, Southwest",billion kilowatthours
HPTOGEN_US,"Net generation from pumped storage hydropower, all sectors, United States",billion kilowatthours
GEEPGEN_NY,"Electric power sector net generation from geothermal, New York (NYISO)",billion kilowatthours
GEEPGEN_PJ,"Electric power sector net generation from geothermal, Mid-Atlantic (PJM)",billion kilowatthours
EXRCP_PAC,"Retail Sales of Electricity in Residential Sector, Pacific Contiguous",million kilowatthours per day
HVEPGEN_TX,"Electric power sector net generation from conventional hydropower, Texas (ERCOT)",billion kilowatthours
JFNIPUS,Jet Fuel Net Imports,million barrels per day
JFPSPUS,Jet Fuel Inventory,"million barrels, end-of-period"
GEEPGEN_SE,"Electric power sector net generation from geothermal, Southeast (SERC)",billion kilowatthours
HVCMGEN_US,"Commercial sector net generation from conventional hydropower, United States",billion kilowatthours
EXRCP_SAC,"Retail Sales of Electricity in Residential Sector, South Atlantic",million kilowatthours per day
EXRCP_US,"Retail Sales of Electricity in Residential Sector, U.S. Total",million kilowatthours per day
GEINGEN_US,"Industrial sector net generation from geothermal, United States",billion kilowatthours
HVEPGEN_HA,"Electric power sector net generation from conventional hydropower, Hawaii and Alaska",billion kilowatthours
HVEPGEN_MW,"Electric power sector net generation from conventional hydropower, Midwest (Midcontinent ISO)",billion kilowatthours
JFROPUS,Jet Fuel Refinery Output,million barrels per day
MGTCPUSX,Motor Gasoline Product Supplied,million barrels per day
MGTCPUSX_P,Petroleum-based Gasoline Consumption,million barrels per day
HVCOPUS,Industrial Sector Generation from Conventional Hydroelectric,billion kilowatthours per day
HONIPUS,Hydrogen and Other Hydrocarbons Net Imports,million barrels per day
ELCUS_MAC,"Number of Residential Customers, Middle Atlantic",thousand customers
LGTCPUS,Liquefied Petroleum Gas Product Supplied,million barrels per day
HPINGEN_US,"Industrial sector net generation from pumped storage hydropower, United States",billion kilowatthours
HPCMGEN_US,"Commercial sector net generation from pumped storage hydropower, United States",billion kilowatthours
IPMFG_PAC,"Industrial Output, Manufacturing, Pacific","Index, 2017=100"
IPMFG_SAC,"Industrial Output, Manufacturing, S. Atlantic","Index, 2017=100"
ELCUS_MTN,"Number of Residential Customers, Mountain",thousand customers
ELCUS_NEC,"Number of Residential Customers, New England",thousand customers
ELCUS_PAC,"Number of Residential Customers, Pacific Contiguous",thousand customers
JKTCUUS_$,Jet Fuel Refiner Price to End Users,dollars per gallon
KQHMPUS,"Housing Stock, including mobile homes",millions
GEEPTOT,Electric Power Sector Generation from Geothermal,billion kilowatthours per day
GEICBUS,Industrial Sector Consumption of Geothermal Energy,Quadrillion Btu
EXTCP_ENC,"Retail Sales of Electricity in All Sectors, East North Central",million kilowatthours per day
EXTCP_ESC,"Retail Sales of Electricity in All Sectors, East South Central",million kilowatthours per day
GECMGEN_US,"Commercial sector net generation from geothermal, United States",billion kilowatthours
GEECBUS,Electric Power Sector Consumption of Geothermal Energy,Quadrillion Btu
MGROPUS,Finished Motor Gasoline Refinery Output,million barrels per day
HVEPGEN_FL,"Electric power sector net generation from conventional hydropower, Florida (FRCC)",billion kilowatthours
HGPRPUS,Hydrocarbon Gas Liquids Total Production,million barrels per day
HOFPPUS,Hydrogen and Other Hydrocarbons Adjustments,million barrels per day
GEEPCAP_US,Electric Power Sector Geothermal Net Summer Capacity,megawatts
LGROPUS,Liquefied Petroleum Gas Refinery Output,million barrels per day
HPEPGEN_MW,"Electric power sector net generation from pumped storage hydropower, Midwest (Midcontinent ISO)",billion kilowatthours
EXACP_WNC,"Retail Sales of Electricity in Transportation Sector, West North Central",million kilowatthours per day
HVTCBUS,Consumption of Conventional Hydroelectric Power Energy by All Sectors,Quadrillion Btu
PAPR_NI,"Crude Oil and Liquid Fuels Supply, Nigeria",million barrels per day
PAPR_CH,"Crude Oil and Liquid Fuels Supply, China",million barrels per day
XXEPGEN_TX,"Electric power sector net generation from other energy sources, Texas (ERCOT)",billion kilowatthours
COPC_KU,Kuwait Crude Oil Production Capacity,million barrels per day
PAPR_IN,"Crude Oil and Liquid Fuels Supply, India",million barrels per day
PAPR_ID,"Crude Oil and Liquid Fuels Supply, Indonesia",million barrels per day
PAPR_NONOPEC_I_OPECNC,Non- OPEC + OPEC non-crude Production,million barrels per day
PAPR_SA,"Crude Oil and Liquid Fuels Supply, Saudi Arabia",million barrels per day
PAPR_NONOPEC,Total non-OPEC Liquids Petroleum Production,million barrels per day
PAPR_TC,"Crude Oil and Liquid Fuels Supply, United Arab Emirates",million barrels per day
ZWCD_WNC,Cooling Degree Days W. N. Central,total degree days
